library,status_r3,status_r4,display_status_r3,display_status_r4,score_measurement_complete_r3,score_measurement_complete_r4,no_test_score_r3,no_test_score_r4,score_splices_r3,score_splices_r4,input_tokens_r3,input_tokens_r4,input_tokens_mean,input_tokens_n,cached_input_tokens_r3,cached_input_tokens_r4,cached_input_tokens_mean,cached_input_tokens_n,output_tokens_r3,output_tokens_r4,output_tokens_mean,output_tokens_n,reasoning_tokens_r3,reasoning_tokens_r4,reasoning_tokens_mean,reasoning_tokens_n,cost_usd_r3,cost_usd_r4,cost_usd_mean,cost_usd_n,requests_r3,requests_r4,requests_mean,requests_n,duration_ms_r3,duration_ms_r4,duration_ms_mean,duration_ms_n,tests_passing_r3,tests_passing_r4,tests_passing_mean,tests_passing_n,tests_failures_r3,tests_failures_r4,tests_failures_mean,tests_failures_n,tests_written_r3,tests_written_r4,tests_written_mean,tests_written_n,tests_total_r3,tests_total_r4,tests_total_mean,tests_total_n,total_valid_r3,total_valid_r4,total_valid_mean,total_valid_n,pre_score_r3,pre_score_r4,pre_score_mean,pre_score_n,residual_score_r3,residual_score_r4,residual_score_mean,residual_score_n,benchmark_score_r3,benchmark_score_r4,benchmark_score_mean,benchmark_score_n,benchmark_total_valid_r3,benchmark_total_valid_r4,benchmark_total_valid_mean,benchmark_total_valid_n,benchmark_undetected_r3,benchmark_undetected_r4,benchmark_undetected_mean,benchmark_undetected_n,benchmark_exit_code_r3,benchmark_exit_code_r4,delta_r3,delta_r4,delta_mean,delta_n,benchmark_delta_r3,benchmark_delta_r4,benchmark_delta_mean,benchmark_delta_n,benchmark_minus_agent_score_r3,benchmark_minus_agent_score_r4,benchmark_minus_agent_score_mean,benchmark_minus_agent_score_n
countries-and-timezones,completed,completed,ok,ok,True,True,False,False,,,2637126,2409233,2523179.5,2,2409728,2200704,2305216.0,2,24573,26533,25553.0,2,0,0,0.0,2,0.8311935,0.80107925,0.816136375,2,131,116,123.5,2,746786,829436,788111.0,2,8,9,8.5,2,0,0,0.0,2,8,9,8.5,2,8,9,8.5,2,2662,2662,2662.0,2,6.8,7.44,7.12,2,11.42,11.34,11.379999999999999,2,11.419984973703983,11.344853493613824,11.382419233658904,2,2662,2662,2662.0,2,2358,2360,2359.0,2,0,0,4.62,3.8999999999999995,4.26,2,4.619984973703983,3.9048534936138237,4.262419233658903,2,-1.5026296017239815e-05,0.004853493613824256,0.002419233658903508,2
simple-statistics,completed,completed,ok,ok,True,True,False,False,,,5424560,5307132,5365846.0,2,4897408,4783744,4840576.0,2,116085,112279,114182.0,2,0,0,0.0,2,2.431966,2.374993,2.4034795,2,662,615,638.5,2,3310622,3055166,3182894.0,2,80,75,77.5,2,0,0,0.0,2,80,75,77.5,2,80,75,77.5,2,2054,2054,2054.0,2,67.09,67.53,67.31,2,70.89,69.62,70.255,2,70.88607594936708,69.62025316455697,70.25316455696202,2,2054,2054,2054.0,2,598,624,611.0,2,0,0,3.799999999999997,2.0900000000000034,2.9450000000000003,2,3.7960759493670793,2.0902531645569695,2.9431645569620244,2,-0.003924050632917897,0.0002531645569661123,-0.0018354430379758924,2
plural,completed,completed,ok,ok,True,True,False,False,,,675039,632567,653803.0,2,598272,579072,588672.0,2,13607,12435,13021.0,2,0,0,0.0,2,0.30681275,0.26360275,0.28520775,2,78,79,78.5,2,311149,254732,282940.5,2,6,9,7.5,2,0,0,0.0,2,6,9,7.5,2,6,9,7.5,2,178,178,178.0,2,30.9,37.64,34.269999999999996,2,74.72,94.38,84.55,2,74.71910112359551,94.3820224719101,84.5505617977528,2,178,178,178.0,2,45,10,27.5,2,0,0,43.82,56.739999999999995,50.28,2,43.81910112359551,56.742022471910104,50.28056179775281,2,-0.0008988764044914888,0.0020224719101094024,0.0005617977528089568,2
dirty,completed,completed,ok,ok,True,True,False,False,,,588710,666562,627636.0,2,535552,600192,567872.0,2,18392,20195,19293.5,2,0,0,0.0,2,0.3173115,0.3599365,0.33862400000000004,2,59,69,64.0,2,335057,323753,329405.0,2,9,7,8.0,2,0,0,0.0,2,9,7,8.0,2,9,7,8.0,2,160,160,160.0,2,81.88,31.25,56.565,2,81.88,31.25,56.565,2,82.5,31.25,56.875,2,160,160,160.0,2,28,110,69.0,2,0,0,0.0,0.0,0.0,2,0.6200000000000045,0.0,0.3100000000000023,2,0.6200000000000045,0.0,0.3100000000000023,2
geo-point,completed,completed,ok,ok,True,True,False,False,,,1187806,1228405,1208105.5,2,1068544,1113984,1091264.0,2,31606,31030,31318.0,2,0,0,0.0,2,0.5987055,0.59257425,0.595639875,2,140,141,140.5,2,540049,512600,526324.5,2,20,18,19.0,2,0,0,0.0,2,20,18,19.0,2,20,18,19.0,2,195,195,195.0,2,78.46,68.21,73.335,2,84.1,72.31,78.205,2,84.1025641025641,72.3076923076923,78.2051282051282,2,195,195,195.0,2,31,54,42.5,2,0,0,5.640000000000001,4.1000000000000085,4.8700000000000045,2,5.6425641025641085,4.097692307692313,4.870128205128211,2,0.002564102564107884,-0.0023076923076956746,0.00012820512820610475,2
uneval,partial_benchmark,partial_benchmark,fail,fail,False,False,True,True,['no-test-zero-score'],['no-test-zero-score'],197143,62960,130051.5,2,179712,55296,117504.0,2,5896,2389,4142.5,2,0,0,0.0,2,0.10321275,0.040382,0.071797375,2,19,8,13.5,2,85506,32003,58754.5,2,0,0,0.0,2,0,0,0.0,2,0,0,0.0,2,0,0,0.0,2,,,,0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,,,,0,,,,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
image-downloader,completed,completed,ok,ok,True,True,False,False,,,368763,370893,369828.0,2,340736,334720,337728.0,2,8893,10838,9865.5,2,0,0,0.0,2,0.16655575,0.19543625,0.180996,2,37,44,40.5,2,174157,190565,182361.0,2,3,4,3.5,2,0,0,0.0,2,3,4,3.5,2,3,4,3.5,2,43,43,43.0,2,72.09,74.42,73.255,2,95.35,97.67,96.50999999999999,2,95.34883720930233,97.67441860465115,96.51162790697674,2,43,43,43.0,2,2,1,1.5,2,0,0,23.25999999999999,23.25,23.254999999999995,2,23.258837209302328,23.25441860465115,23.25662790697674,2,-0.0011627906976627855,0.004418604651149849,0.0016279069767435317,2
crawler-url-parser,partial_benchmark,completed,fail,ok,False,True,True,False,['no-test-zero-score'],,230634,618831,424732.5,2,209024,566784,387904.0,2,5757,14932,10344.5,2,0,0,0.0,2,0.1107105,0.28522675,0.19796862499999998,2,27,61,44.0,2,88457,288030,188243.5,2,0,4,2.0,2,0,0,0.0,2,0,4,2.0,2,0,4,2.0,2,,226,226.0,1,0.0,59.73,29.865,2,0.0,59.73,29.865,2,0.0,59.73451327433629,29.867256637168143,2,,226,226.0,1,,91,91.0,1,0,0,0.0,0.0,0.0,2,0.0,0.004513274336289896,0.002256637168144948,2,0.0,0.004513274336289896,0.002256637168144948,2
gitlab-js,completed,completed,ok,ok,True,True,False,False,,,2666668,2692034,2679351.0,2,2441344,2398976,2420160.0,2,53681,54387,54034.0,2,0,0,0.0,2,1.123633,1.2100645,1.1668487500000002,2,313,322,317.5,2,1116975,1122905,1119940.0,2,22,23,22.5,2,0,0,0.0,2,22,23,22.5,2,22,23,22.5,2,1057,1057,1057.0,2,30.65,27.91,29.28,2,34.15,27.91,31.03,2,34.15326395458846,27.90917691579943,31.031220435193944,2,1057,1057,1057.0,2,696,762,729.0,2,0,0,3.5,0.0,1.75,2,3.503263954588462,-0.0008230842005687578,1.7512204351939467,2,0.00326395458846207,-0.0008230842005687578,0.0012204351939466562,2
core,completed,completed,ok,ok,True,True,False,False,,,1410718,1431002,1420860.0,2,1281920,1308928,1295424.0,2,34276,34723,34499.5,2,0,0,0.0,2,0.6639975,0.6634385,0.663718,2,173,173,173.0,2,593970,639536,616753.0,2,22,24,23.0,2,0,0,0.0,2,22,24,23.0,2,22,24,23.0,2,293,293,293.0,2,54.61,68.26,61.435,2,77.47,86.69,82.08,2,77.47440273037543,86.68941979522185,82.08191126279864,2,293,293,293.0,2,66,39,52.5,2,0,0,22.86,18.429999999999993,20.644999999999996,2,22.86440273037543,18.429419795221847,20.64691126279864,2,0.004402730375431929,-0.0005802047781457986,0.0019112627986430653,2
omnitool,completed,completed,ok,ok,True,True,False,False,,,19009225,18247898,18628561.5,2,17029248,16561920,16795584.0,2,323610,330737,327173.5,2,0,0,0.0,2,7.83972725,7.4850825,7.662404875,2,2077,2017,2047.0,2,9517662,10312285,9914973.5,2,250,249,249.5,2,0,0,0.0,2,250,249,249.5,2,250,249,249.5,2,4995,4995,4995.0,2,79.4,77.18,78.29,2,80.86,79.58,80.22,2,80.86086086086087,79.57957957957959,80.22022022022023,2,4995,4995,4995.0,2,956,1020,988.0,2,0,0,1.4599999999999937,2.3999999999999915,1.9299999999999926,2,1.460860860860862,2.39957957957958,1.930220220220221,2,0.0008608608608682289,-0.00042042042041146033,0.00022022022022838428,2
